날짜,스트레스,날짜,코로나,날짜,수능,날짜,학업
2019-07-14,0.01746,2019-07-14,0.00904,2019-07-14,0.04592,2019-07-14,0.00269
2019-07-15,0.02103,2019-07-15,0.00945,2019-07-15,0.04551,2019-07-15,0.00307
2019-07-16,0.02176,2019-07-16,0.00996,2019-07-16,0.04453,2019-07-16,0.00342
2019-07-17,0.02038,2019-07-17,0.01137,2019-07-17,0.0438,2019-07-17,0.00264
2019-07-18,0.02056,2019-07-18,0.00974,2019-07-18,0.04481,2019-07-18,0.00279
2019-07-19,0.01536,2019-07-19,0.00937,2019-07-19,0.04162,2019-07-19,0.00222
2019-07-20,0.01255,2019-07-20,0.01112,2019-07-20,0.0432,2019-07-20,0.00156
2019-07-21,0.01157,2019-07-21,0.00931,2019-07-21,0.04573,2019-07-21,0.00214
2019-07-22,0.01758,2019-07-22,0.01,2019-07-22,0.05558,2019-07-22,0.00283
2019-07-23,0.01585,2019-07-23,0.01002,2019-07-23,0.0523,2019-07-23,0.00279
2019-07-24,0.01683,2019-07-24,0.01063,2019-07-24,0.04987,2019-07-24,0.00283
2019-07-25,0.01555,2019-07-25,0.01151,2019-07-25,0.05016,2019-07-25,0.00236
2019-07-26,0.01438,2019-07-26,0.01021,2019-07-26,0.04789,2019-07-26,0.0026
2019-07-27,0.01076,2019-07-27,0.01006,2019-07-27,0.04963,2019-07-27,0.00142
2019-07-28,0.01202,2019-07-28,0.00906,2019-07-28,0.05588,2019-07-28,0.00242
2019-07-29,0.01565,2019-07-29,0.01029,2019-07-29,0.06236,2019-07-29,0.00279
2019-07-30,0.01689,2019-07-30,0.00929,2019-07-30,0.06261,2019-07-30,0.00238
2019-07-31,0.01381,2019-07-31,0.00986,2019-07-31,0.06271,2019-07-31,0.00269
2019-08-01,0.01449,2019-08-01,0.01023,2019-08-01,0.07127,2019-08-01,0.00267
2019-08-02,0.01357,2019-08-02,0.01015,2019-08-02,0.06976,2019-08-02,0.0024
2019-08-03,0.01106,2019-08-03,0.00982,2019-08-03,0.07541,2019-08-03,0.00185
2019-08-04,0.01057,2019-08-04,0.00955,2019-08-04,0.10343,2019-08-04,0.00283
2019-08-05,0.01593,2019-08-05,0.01108,2019-08-05,0.26323,2019-08-05,0.00334
2019-08-06,0.01677,2019-08-06,0.00964,2019-08-06,0.36968,2019-08-06,0.00334
2019-08-07,0.01716,2019-08-07,0.00986,2019-08-07,0.11678,2019-08-07,0.0034
2019-08-08,0.01742,2019-08-08,0.00966,2019-08-08,0.0846,2019-08-08,0.00342
2019-08-09,0.01667,2019-08-09,0.00964,2019-08-09,0.06946,2019-08-09,0.0026
2019-08-10,0.01416,2019-08-10,0.01055,2019-08-10,0.06554,2019-08-10,0.00218
2019-08-11,0.01418,2019-08-11,0.00962,2019-08-11,0.07274,2019-08-11,0.00293
2019-08-12,0.01987,2019-08-12,0.00972,2019-08-12,0.10989,2019-08-12,0.00319
2019-08-13,0.01972,2019-08-13,0.01059,2019-08-13,0.10264,2019-08-13,0.00366
2019-08-14,0.01777,2019-08-14,0.01045,2019-08-14,0.08403,2019-08-14,0.00352
2019-08-15,0.01563,2019-08-15,0.01112,2019-08-15,0.07704,2019-08-15,0.00368
2019-08-16,0.01683,2019-08-16,0.00945,2019-08-16,0.08036,2019-08-16,0.00332
2019-08-17,0.01339,2019-08-17,0.01002,2019-08-17,0.07482,2019-08-17,0.00301
2019-08-18,0.01593,2019-08-18,0.01057,2019-08-18,0.08303,2019-08-18,0.00358
2019-08-19,0.0216,2019-08-19,0.00988,2019-08-19,0.09809,2019-08-19,0.00446
